# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
03:48:48 (starting) 1 0.05 23.67 0
03:48:50 (starting) 1 0.27 23.50 0
03:48:52 (starting) 1 0.08 23.67 1
03:48:54 (starting) 1 0.27 23.51 1
03:48:56 test_rng 0 0.00 23.70 59
03:48:58 test_rng 1 0.27 23.49 60
03:49:00 test_rng 1 0.29 23.47 60
03:49:02 test_determinism 1 0.30 23.45 83
03:49:04 test_determinism 1 0.30 23.45 83
03:49:06 test_determinism 1 0.30 23.43 83
03:49:08 test_determinism 1 0.30 23.44 83
03:49:10 test_determinism 1 0.30 23.33 83
03:49:12 test_determinism 1 0.30 23.10 83
03:49:14 test_determinism 1 0.30 22.91 83
03:49:16 test_determinism 1 0.30 22.94 83
03:49:18 test_determinism 1 0.30 22.92 83
03:49:20 test_determinism 1 0.30 23.41 83
03:49:22 test_determinism 1 0.30 23.47 83
03:49:24 test_determinism 1 0.30 23.46 83
03:49:26 test_determinism 1 0.30 23.46 83
03:49:28 test_determinism 1 0.35 23.41 83
03:49:30 test_determinism 1 0.44 23.33 83
03:49:32 test_determinism 1 0.51 23.25 83
03:49:34 test_determinism 1 0.70 23.07 83
03:49:36 test_determinism 1 0.71 23.05 83
03:49:38 test_determinism 1 0.85 22.91 83
03:49:40 test_determinism 1 0.85 22.90 83
03:49:42 test_determinism 1 0.86 22.90 83
03:49:44 test_determinism 1 0.93 22.83 83
03:49:46 test_determinism 1 1.30 22.46 83
03:49:48 test_determinism 1 1.34 22.42 83
03:49:50 test_determinism 1 1.58 22.18 83
03:49:52 test_determinism 1 1.74 22.02 83
03:49:54 test_determinism 1 1.74 22.01 83
03:49:56 test_determinism 1 1.74 22.01 83
03:49:58 test_determinism 1 1.98 21.77 83
03:50:00 test_determinism 1 2.30 21.45 83
03:50:02 test_determinism 1 2.39 21.36 83
03:50:04 test_determinism 1 2.54 21.22 83
03:50:06 test_determinism 1 2.61 21.15 83
03:50:08 test_determinism 1 2.84 20.91 83
03:50:10 test_determinism 1 3.06 20.70 83
03:50:12 test_determinism 1 3.08 20.67 83
03:50:14 test_determinism 1 3.25 20.50 83
03:50:16 test_determinism 1 3.57 20.19 83
03:50:18 test_determinism 1 3.58 20.18 83
03:50:20 test_determinism 1 3.84 19.92 83
03:50:22 test_determinism 1 3.99 19.76 83
03:50:24 test_determinism 1 4.11 20.08 83
03:50:26 test_determinism 1 4.23 19.96 83
03:50:28 test_determinism 1 4.39 19.79 83
03:50:30 test_determinism 1 4.50 19.68 83
03:50:32 test_determinism 1 4.51 19.67 83
03:50:34 test_determinism 1 4.52 19.66 83
03:50:36 test_determinism 1 4.52 19.68 83
03:50:38 test_determinism 1 4.60 19.59 83
