# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
01:25:52 (starting) 1 0.06 24.47 0
01:25:54 (starting) 1 0.30 24.29 0
01:25:56 (starting) 1 0.27 24.32 1
01:25:58 test_rng 1 0.25 24.34 60
01:26:00 test_determinism 1 0.30 24.28 83
01:26:02 test_determinism 1 0.30 24.27 83
01:26:04 test_determinism 1 0.30 24.27 83
01:26:06 test_determinism 1 0.30 24.27 83
01:26:08 test_determinism 1 0.30 24.27 83
01:26:10 test_determinism 1 0.30 24.27 83
01:26:12 test_determinism 1 0.30 24.27 83
01:26:14 test_determinism 1 0.36 24.22 83
01:26:16 test_determinism 1 0.44 24.13 83
01:26:18 test_determinism 1 0.72 23.86 83
01:26:20 test_determinism 1 0.86 23.72 83
01:26:22 test_determinism 1 0.86 23.72 83
01:26:24 test_determinism 1 1.11 23.47 83
01:26:26 test_determinism 1 1.45 23.13 83
01:26:28 test_determinism 1 1.74 22.84 83
01:26:30 test_determinism 1 1.74 22.84 83
01:26:32 test_determinism 1 2.17 22.41 83
01:26:34 test_determinism 1 2.45 22.13 83
01:26:36 test_determinism 1 2.62 21.96 83
01:26:38 test_determinism 1 2.98 21.59 83
01:26:40 test_determinism 1 3.19 21.38 83
01:26:42 test_determinism 1 3.57 20.99 83
01:26:44 test_determinism 1 3.84 20.73 83
01:26:46 test_determinism 1 4.09 20.48 83
01:26:48 test_determinism 1 4.23 20.34 83
01:26:50 test_determinism 1 4.50 20.07 83
01:26:52 test_determinism 1 4.52 20.04 83
01:26:54 test_determinism 1 4.53 20.04 83
01:26:56 test_determinism 1 4.80 19.76 83
01:26:58 test_determinism 1 4.86 19.70 83
01:27:00 test_determinism 1 4.99 19.58 83
01:27:02 test_determinism 1 5.01 19.56 83
01:27:04 test_determinism 1 5.01 19.55 83
01:27:06 test_determinism 1 5.01 19.56 83
01:27:08 test_determinism 1 5.02 19.56 83
01:27:10 test_determinism 1 5.02 19.53 83
01:27:12 test_determinism 1 5.02 19.30 83
01:27:14 test_determinism 1 5.02 19.17 83
01:27:16 test_determinism 1 5.03 19.17 83
