kind,movement,defence,effects,budget
worn,8,21,3,32
worn,6,55,11,72
worn,26,5,1,32
worn,12,15,5,32
worn,30,1,1,32
worn,20,15,13,48
worn,2,21,9,32
worn,5,37,6,48
worn,5,22,5,32
worn,10,15,7,32
worn,20,10,2,32
worn,20,18,10,48
worn,20,28,0,48
worn,18,7,7,32
worn,23,32,17,72
worn,37,31,4,72
worn,20,18,10,48
worn,86,57,25,168
worn,1,47,0,48
worn,32,32,8,72
worn,9,15,8,32
worn,12,18,2,32
worn,16,13,3,32
worn,50,4,18,72
worn,86,65,17,168
worn,5,23,4,32
worn,28,2,2,32
worn,17,22,9,48
worn,0,31,1,32
worn,17,6,9,32
worn,16,13,3,32
worn,102,32,34,168
worn,17,34,21,72
worn,66,62,40,168
worn,9,15,8,32
worn,24,13,11,48
worn,31,9,8,48
worn,43,3,2,48
worn,12,17,3,32
worn,70,2,0,72
worn,22,34,16,72
worn,5,18,9,32
worn,77,49,42,168
worn,0,25,7,32
worn,33,24,15,72
worn,22,14,12,48
worn,116,44,8,168
worn,27,10,11,48
worn,24,23,1,48
worn,14,12,6,32
worn,17,14,1,32
worn,16,45,11,72
worn,4,42,2,48
worn,18,6,8,32
worn,0,32,0,32
worn,70,1,1,72
worn,43,3,2,48
worn,15,10,7,32
worn,18,22,8,48
worn,14,15,3,32
worn,3,36,9,48
worn,17,8,7,32
worn,23,33,16,72
worn,13,14,5,32
worn,11,14,7,32
worn,17,9,6,32
worn,9,19,4,32
worn,19,19,10,48
worn,5,24,3,32
worn,15,12,5,32
worn,6,18,8,32
worn,31,3,14,48
worn,6,33,9,48
worn,0,28,4,32
worn,34,5,9,48
worn,24,3,5,32
worn,33,12,3,48
worn,19,4,9,32
worn,24,21,3,48
worn,38,67,7,112
worn,29,3,0,32
worn,37,27,8,72
worn,0,32,0,32
worn,10,92,10,112
worn,8,22,2,32
worn,4,19,9,32
worn,21,14,13,48
worn,59,10,3,72
worn,25,0,7,32
worn,2,25,5,32
worn,19,22,7,48
worn,44,24,4,72
worn,0,59,13,72
worn,17,15,0,32
worn,15,23,10,48
worn,1,22,9,32
worn,14,12,6,32
worn,0,23,9,32
worn,20,15,13,48
worn,9,14,9,32
worn,2,22,8,32
worn,21,23,4,48
worn,18,14,0,32
worn,20,7,5,32
worn,13,26,9,48
worn,0,41,7,48
worn,20,92,0,112
worn,5,24,3,32
worn,27,2,3,32
worn,23,9,0,32
worn,26,20,2,48
worn,23,2,7,32
worn,47,11,14,72
worn,39,7,2,48
worn,63,4,5,72
worn,33,7,8,48
worn,7,19,6,32
worn,11,11,10,32
worn,15,9,8,32
worn,23,0,9,32
worn,3,23,6,32
worn,44,1,3,48
worn,15,14,3,32
worn,22,9,1,32
worn,19,4,9,32
worn,26,2,4,32
worn,2,37,9,48
worn,18,6,8,32
worn,12,14,6,32
worn,17,19,12,48
worn,22,34,16,72
worn,26,2,4,32
worn,6,21,5,32
worn,18,29,1,48
worn,48,6,18,72
worn,8,22,2,32
worn,29,10,9,48
worn,39,14,19,72
worn,19,6,7,32
worn,17,25,6,48
worn,2,36,10,48
worn,16,11,5,32
worn,48,17,7,72
worn,70,1,1,72
worn,15,14,3,32
worn,8,22,2,32
worn,1,24,7,32
worn,11,32,5,48
worn,26,30,16,72
worn,22,1,9,32
worn,12,14,6,32
worn,21,21,6,48
worn,37,7,4,48
worn,0,35,13,48
worn,27,44,1,72
worn,28,7,13,48
worn,49,156,51,256
worn,8,26,14,48
worn,98,25,45,168
worn,7,17,8,32
worn,13,91,8,112
worn,4,32,12,48
worn,21,9,2,32
worn,17,11,4,32
worn,5,21,6,32
worn,35,6,7,48
worn,24,11,13,48
worn,20,21,7,48
worn,5,18,9,32
worn,8,17,7,32
worn,17,8,7,32
worn,14,49,9,72
worn,55,7,10,72
worn,11,11,10,32
worn,200,15,41,256
worn,17,11,4,32
worn,18,85,9,112
worn,37,2,9,48
worn,114,20,34,168
worn,16,28,4,48
worn,4,41,3,48
worn,7,33,8,48
worn,10,12,10,32
worn,0,30,2,32
worn,11,13,8,32
worn,58,40,14,112
worn,21,17,10,48
worn,9,21,2,32
worn,11,17,4,32
worn,13,13,6,32
worn,1,44,3,48
worn,14,33,1,48
worn,1,41,6,48
worn,30,1,1,32
worn,12,15,5,32
worn,9,39,0,48
worn,34,37,1,72
worn,22,4,6,32
worn,1,30,1,32
worn,9,18,5,32
worn,9,45,18,72
worn,37,24,11,72
worn,10,15,7,32
worn,12,14,6,32
worn,0,28,4,32
worn,22,10,0,32
worn,17,92,3,112
worn,13,16,3,32
worn,1,24,7,32
worn,45,13,14,72
worn,24,4,4,32
worn,17,10,5,32
worn,19,7,6,32
worn,29,1,2,32
worn,64,22,26,112
worn,18,20,10,48
worn,8,21,3,32
worn,38,1,9,48
worn,63,29,20,112
worn,21,4,7,32
worn,49,23,0,72
worn,25,13,10,48
worn,23,4,5,32
worn,22,2,8,32
worn,3,23,6,32
worn,7,48,17,72
worn,35,37,0,72
worn,12,12,8,32
worn,38,14,20,72
worn,35,12,1,48
worn,35,9,4,48
worn,10,50,12,72
worn,33,33,6,72
worn,13,29,6,48
worn,1,29,2,32
worn,14,46,12,72
worn,32,39,1,72
worn,103,40,25,168
worn,26,5,1,32
worn,38,3,7,48
worn,17,45,10,72
worn,22,2,8,32
worn,34,4,10,48
worn,38,9,1,48
worn,16,12,4,32
worn,52,11,9,72
worn,11,23,14,48
worn,15,7,10,32
worn,16,15,1,32
worn,10,20,2,32
worn,1,29,2,32
worn,29,16,3,48
worn,8,21,3,32
worn,16,9,7,32
worn,40,21,11,72
worn,58,10,4,72
worn,33,1,14,48
worn,58,1,13,72
worn,18,47,7,72
worn,9,14,9,32
worn,12,23,13,48
worn,38,10,0,48
worn,10,69,33,112
worn,14,12,6,32
worn,19,27,2,48
worn,3,39,6,48
worn,20,89,3,112
worn,1,27,4,32
worn,8,36,4,48
worn,24,4,4,32
worn,19,6,7,32
worn,22,7,3,32
worn,43,60,9,112
worn,5,34,9,48
worn,15,15,2,32
worn,19,13,0,32
worn,12,11,9,32
worn,40,6,2,48
worn,50,6,16,72
worn,53,10,9,72
worn,46,17,9,72
