
s,x,z,ground,land
-32.6883,-130.1331,66.4495,66.9049,67.2049
-32.1958,-130.4523,66.0744,66.7517,67.0517
-31.7034,-130.7714,65.6994,66.5964,66.8964
-31.2109,-131.0905,65.3243,66.4390,66.7390
-30.7185,-131.4096,64.9492,66.2794,66.5794
-30.2260,-131.7287,64.5742,66.1174,66.4174
-29.7336,-132.0479,64.1991,65.9529,66.2529
-29.2411,-132.3670,63.8241,65.7864,66.0864
-28.7487,-132.6861,63.4490,65.6180,65.9180
-28.2683,-133.0347,63.1185,65.4602,65.7602
-27.7879,-133.3834,62.7880,65.3007,65.6007
-27.3075,-133.7320,62.4576,65.1392,65.4392
-26.8271,-134.0807,62.1271,64.9753,65.2753
-26.3467,-134.4293,61.7966,64.8087,65.1087
-25.8664,-134.7780,61.4662,64.6392,64.9392
-25.3860,-135.1266,61.1357,64.4663,64.7663
-24.9056,-135.4753,60.8052,64.2899,64.5899
-24.4252,-135.8239,60.4747,64.1097,64.4097
-23.9448,-136.1725,60.1443,63.9256,64.2256
-23.4645,-136.5212,59.8138,63.7376,64.0376
-22.9841,-136.8698,59.4833,63.5472,63.8472
-22.5108,-137.2587,59.2135,63.3774,63.6774
-22.0375,-137.6475,58.9437,63.2053,63.5053
-21.5643,-138.0363,58.6739,63.0308,63.3308
-21.0910,-138.4251,58.4041,62.8540,63.1540
-20.6178,-138.8139,58.1343,62.6744,62.9744
-20.1445,-139.2028,57.8645,62.4921,62.7921
-19.6712,-139.5916,57.5947,62.3067,62.6067
-19.1980,-139.9804,57.3249,62.1179,62.4179
-18.7247,-140.3692,57.0550,61.9254,62.2254
-18.2515,-140.7580,56.7852,61.7287,62.0287
-17.7782,-141.1469,56.5154,61.5275,61.8275
-17.3049,-141.5357,56.2456,61.3211,61.6211
-16.8286,-141.9607,56.0305,61.1234,61.4234
-16.3522,-142.3857,55.8153,60.9176,61.2176
-15.8758,-142.8107,55.6001,60.7028,61.0028
-15.3995,-143.2357,55.3850,60.4782,60.7782
-14.9231,-143.6607,55.1698,60.2428,60.5428
-14.4468,-144.0857,54.9547,59.9956,60.2956
-13.9704,-144.5107,54.7395,59.7379,60.0379
-13.4940,-144.9357,54.5243,59.4708,59.7708
-13.0177,-145.3607,54.3092,59.1946,59.4946
-12.5413,-145.7857,54.0940,58.9095,59.2094
-12.0650,-146.2107,53.8789,58.6157,58.9157
-11.5886,-146.6357,53.6637,58.3136,58.6136
-11.1070,-147.0799,53.4775,58.0061,58.3061
-10.6253,-147.5241,53.2914,57.6903,57.9903
-10.1437,-147.9683,53.1052,57.3665,57.6665
-9.6621,-148.4125,52.9190,57.0349,57.3349
-9.1804,-148.8567,52.7329,56.6961,56.9961
-8.6988,-149.3009,52.5467,56.3503,56.6503
-8.2171,-149.7451,52.3605,55.9980,56.2980
-7.7355,-150.1893,52.1743,55.6395,55.9395
-7.2539,-150.6335,51.9882,55.2755,55.5755
-6.7722,-151.0777,51.8020,54.9065,55.2065
-6.2906,-151.5219,51.6158,54.5328,54.8328
-5.8090,-151.9661,51.4297,54.1550,54.4550
-5.3288,-152.4059,51.2369,53.7732,54.0732
-4.8486,-152.8457,51.0440,53.2069,53.6882
-4.3683,-153.2855,50.8512,52.3736,53.3004
-3.8881,-153.7253,50.6584,51.5092,52.9101
-3.4079,-154.1651,50.4656,50.8543,52.5179
-2.9277,-154.6049,50.2728,50.4678,52.1242
-2.4475,-155.0447,50.0800,50.2427,51.7294
-1.9673,-155.4845,49.8871,50.0850,51.3340
-1.4871,-155.9243,49.6943,49.9256,50.9385
-1.0069,-156.3641,49.5015,49.7634,50.5414
-0.5267,-156.8039,49.3087,49.5996,50.1400
-0.0465,-157.2437,49.1159,49.4343,49.7343
0.0465,-157.2437,49.1159,49.4343,49.7343
0.5282,-157.7248,49.0925,49.3152,49.3770
1.0098,-158.2059,49.0691,49.1949,49.0160
1.4915,-158.6870,49.0457,49.0733,48.6513
1.9732,-159.1681,49.0223,48.9507,48.2834
2.4549,-159.6492,48.9989,48.8235,47.9123
2.9365,-160.1303,48.9755,48.5833,47.5383
3.4182,-160.6114,48.9521,48.0750,47.1617
3.8999,-161.0925,48.9286,47.0816,46.7825
4.3815,-161.5736,48.9052,46.1012,46.4011
4.8632,-162.0547,48.8818,45.7177,46.0177
5.3449,-162.5358,48.8584,45.3324,45.6324
5.8266,-163.0169,48.8350,44.9455,45.2455
6.3089,-163.4989,48.8184,44.5599,44.8599
6.7912,-163.9810,48.8018,44.1730,44.4730
7.2735,-164.4630,48.7852,43.7852,44.0852
7.7558,-164.9450,48.7686,43.3966,43.6966
8.2380,-165.4270,48.7520,43.0080,43.3080
8.7203,-165.9090,48.7354,42.6205,42.9205
9.2026,-166.3910,48.7188,42.2345,42.5345
9.6849,-166.8730,48.7022,41.8502,42.1502
10.1672,-167.3550,48.6856,41.4679,41.7679
10.6495,-167.8370,48.6690,41.0878,41.3878
11.1318,-168.3190,48.6524,40.7090,41.0090
11.6141,-168.8011,48.6358,40.3276,40.6276
12.0963,-169.2829,48.6177,39.9431,40.2431
12.5784,-169.7647,48.5997,39.5564,39.8564
13.0606,-170.2465,48.5816,39.1681,39.4681
13.5427,-170.7283,48.5635,38.7784,39.0784
14.0249,-171.2101,48.5454,38.3879,38.6879
14.5071,-171.6920,48.5274,37.9970,38.2970
14.9892,-172.1738,48.5093,37.6061,37.9061
15.4714,-172.6556,48.4912,37.2157,37.5157
15.9535,-173.1374,48.4731,36.8261,37.1261
16.4357,-173.6192,48.4551,36.4380,36.7380
16.9178,-174.1010,48.4370,36.0517,36.3517
17.4000,-174.5828,48.4189,35.6677,35.9677
