# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
03:02:55 (starting) 1 0.05 24.41 0
03:02:57 (starting) 1 0.27 24.22 1
03:02:59 test_determinism 1 0.30 24.19 24
03:03:01 test_determinism 1 0.30 24.19 24
03:03:03 test_determinism 1 0.30 24.18 24
03:03:05 test_determinism 1 0.30 24.18 24
03:03:07 test_determinism 1 0.30 24.18 24
03:03:09 test_determinism 1 0.30 24.18 24
03:03:11 test_determinism 1 0.30 24.18 24
03:03:13 test_determinism 1 0.36 24.13 24
03:03:15 test_determinism 1 0.51 23.98 24
03:03:17 test_determinism 1 0.72 23.77 24
03:03:19 test_determinism 1 0.86 23.63 24
03:03:21 test_determinism 1 0.86 23.62 24
03:03:23 test_determinism 1 1.17 23.31 24
03:03:25 test_determinism 1 1.47 23.01 24
03:03:27 test_determinism 1 1.74 22.73 24
03:03:29 test_determinism 1 1.74 22.73 24
03:03:31 test_determinism 1 2.14 22.33 24
03:03:33 test_determinism 1 2.39 22.08 24
03:03:35 test_determinism 1 2.58 21.88 24
03:03:37 test_determinism 1 2.95 21.54 24
03:03:39 test_determinism 1 3.08 21.41 24
03:03:41 test_determinism 1 3.46 21.02 24
03:03:43 test_determinism 1 3.58 20.90 24
03:03:45 test_determinism 1 3.99 20.48 24
03:03:47 test_determinism 1 4.23 20.24 24
03:03:49 test_determinism 1 4.50 19.97 24
03:03:51 test_determinism 1 4.52 19.95 24
03:03:53 test_determinism 1 4.52 19.94 24
03:03:55 test_determinism 1 4.78 19.69 24
03:03:57 test_determinism 1 4.84 19.63 24
03:03:59 test_determinism 1 4.98 19.48 24
03:04:01 test_determinism 1 5.00 19.46 24
03:04:03 test_determinism 1 5.01 19.46 24
03:04:05 test_determinism 1 5.01 19.46 24
03:04:07 test_determinism 1 5.02 19.46 24
03:04:09 test_determinism 1 5.02 19.46 24
03:04:11 test_determinism 1 5.02 19.46 24
03:04:13 test_determinism 1 5.02 19.46 24
03:04:15 test_determinism 1 5.03 19.45 24
03:04:17 test_determinism 1 5.03 19.45 24
03:04:19 test_determinism 1 5.03 19.45 24
03:04:21 test_determinism 1 5.25 19.22 24
03:04:23 test_determinism 1 5.26 19.22 24
03:04:25 test_determinism 1 5.28 19.20 24
03:04:27 test_determinism 1 5.34 19.14 24
03:04:29 test_determinism 1 5.34 19.14 24
03:04:31 test_determinism 1 5.34 19.14 24
03:04:33 test_determinism 1 5.34 19.14 24
03:04:35 test_determinism 1 5.34 19.13 24
03:04:37 test_determinism 1 5.34 19.14 24
03:04:39 test_determinism 1 5.34 19.13 24
03:04:41 test_determinism 1 5.34 19.13 24
03:04:43 test_determinism 1 5.34 19.14 24
03:04:45 test_determinism 1 5.34 19.14 24
03:04:47 test_determinism 1 5.34 19.14 24
03:04:49 test_determinism 1 5.34 19.14 24
03:04:51 test_determinism 1 5.34 19.14 24
03:04:53 test_determinism 1 5.40 19.08 24
03:04:55 test_determinism 1 5.48 19.00 24
03:04:57 test_determinism 1 5.59 18.89 24
03:04:59 test_determinism 1 5.73 18.75 24
03:05:01 test_determinism 1 5.83 18.65 24
03:05:03 test_determinism 1 5.96 18.51 24
03:05:05 test_determinism 1 6.16 18.32 24
03:05:07 test_determinism 1 6.34 18.13 24
03:05:09 test_determinism 1 6.56 17.92 24
03:05:11 test_determinism 1 6.82 17.65 24
03:05:13 test_determinism 1 6.89 17.59 24
03:05:15 test_determinism 1 7.09 17.39 24
03:05:17 test_determinism 1 7.36 17.12 24
03:05:19 test_determinism 1 7.60 16.88 24
03:05:21 test_determinism 1 7.85 16.62 24
03:05:23 test_determinism 1 8.05 16.43 24
03:05:25 test_determinism 1 8.05 16.42 24
03:05:27 test_determinism 1 8.05 16.42 24
03:05:29 test_determinism 1 8.06 16.42 24
03:05:31 test_determinism 1 8.06 16.42 24
03:05:33 test_determinism 1 8.06 16.42 24
03:05:35 test_determinism 1 8.06 16.42 24
03:05:37 test_determinism 1 8.06 16.42 24
03:05:39 test_determinism 1 8.33 16.14 24
03:05:41 test_determinism 1 8.36 16.11 24
03:05:43 test_determinism 1 8.36 16.11 24
03:05:45 test_determinism 1 8.36 16.11 24
03:05:47 test_determinism 1 8.36 16.11 24
03:05:49 test_determinism 1 8.36 16.11 24
03:05:51 test_determinism 1 8.37 16.11 24
03:05:53 test_determinism 1 8.48 15.99 24
03:05:55 test_determinism 1 8.80 15.68 24
03:05:57 test_determinism 1 8.81 15.67 24
03:05:59 test_determinism 1 8.81 15.67 24
03:06:01 test_determinism 1 8.81 15.66 24
03:06:03 test_determinism 1 8.81 15.66 24
03:06:05 test_determinism 1 8.81 15.66 24
03:06:07 test_determinism 1 8.81 15.65 24
03:06:09 test_determinism 1 9.07 15.40 24
03:06:11 test_determinism 1 9.09 15.39 24
03:06:13 test_determinism 1 9.09 15.38 24
03:06:15 test_determinism 1 9.11 15.36 24
03:06:17 test_determinism 1 9.22 15.25 24
03:06:19 test_determinism 1 9.22 15.25 24
03:06:21 test_determinism 1 9.22 15.24 24
03:06:23 test_determinism 1 9.23 15.24 24
03:06:25 test_determinism 1 9.23 15.25 24
03:06:27 test_determinism 1 9.23 15.24 24
03:06:29 test_determinism 1 9.23 15.24 24
03:06:31 test_determinism 1 9.23 15.24 24
03:06:33 test_determinism 1 9.23 15.24 24
03:06:35 test_determinism 1 9.23 15.24 24
03:06:37 test_determinism 1 9.23 15.24 24
03:06:39 test_determinism 1 9.23 15.23 24
03:06:41 test_determinism 1 9.23 15.23 24
03:06:43 test_determinism 1 9.23 15.23 112
03:06:45 test_determinism 1 9.22 15.24 112
03:06:47 test_determinism 1 9.22 15.24 112
03:06:49 test_determinism 1 9.22 14.98 112
03:06:51 test_determinism 1 9.22 14.84 112
03:06:53 test_determinism 1 9.22 14.66 112
03:06:55 test_determinism 1 9.22 14.66 112
03:06:57 test_determinism 1 9.22 14.65 112
03:06:59 test_determinism 1 9.22 14.66 112
03:07:01 test_determinism 1 9.22 14.66 112
03:07:03 test_determinism 1 9.22 14.66 112
03:07:05 test_determinism 1 9.22 14.66 112
03:07:07 test_determinism 1 9.22 15.25 112
03:07:09 test_determinism 1 9.22 15.25 112
03:07:11 test_determinism 1 9.22 15.25 112
03:07:13 test_determinism 1 9.22 15.25 112
03:07:15 test_determinism 1 9.22 15.25 112
03:07:17 test_determinism 1 9.22 15.25 112
03:07:19 test_determinism 1 9.22 15.23 112
03:07:21 test_determinism 1 9.22 15.24 112
03:07:23 test_determinism 1 9.22 15.24 112
03:07:25 test_determinism 1 9.22 15.24 112
03:07:27 test_determinism 1 9.22 14.88 112
03:07:29 test_determinism 1 9.22 14.64 112
03:07:31 test_determinism 1 9.22 14.63 112
03:07:33 test_determinism 1 9.22 14.63 112
03:07:35 test_determinism 1 9.22 14.63 112
03:07:37 test_determinism 1 9.22 14.63 112
03:07:39 test_determinism 1 9.22 14.63 112
03:07:41 test_determinism 1 9.22 14.62 112
03:07:43 test_determinism 1 9.22 14.63 112
03:07:45 test_determinism 1 9.22 14.63 112
03:07:47 test_determinism 1 9.22 14.62 112
03:07:49 test_determinism 1 9.22 14.62 112
03:07:51 test_determinism 1 9.22 14.63 112
03:07:53 test_determinism 1 9.22 14.61 112
03:07:55 test_determinism 1 9.22 14.62 112
03:07:57 test_determinism 1 9.22 14.62 112
03:07:59 test_determinism 1 9.22 14.61 112
03:08:01 test_determinism 1 9.22 14.62 112
03:08:03 test_determinism 1 9.22 14.62 112
03:08:05 test_determinism 1 9.22 14.62 112
03:08:07 test_determinism 1 9.22 14.62 112
03:08:09 test_determinism 1 9.22 14.62 112
03:08:11 test_determinism 1 9.22 14.63 112
03:08:13 test_determinism 1 9.22 14.61 112
03:08:15 test_determinism 1 9.22 14.62 112
03:08:17 test_determinism 1 9.22 14.62 112
03:08:19 test_determinism 1 9.22 14.61 112
03:08:21 test_determinism 1 9.22 14.61 112
03:08:23 test_determinism 1 9.22 14.62 112
03:08:25 test_determinism 1 9.22 14.63 112
03:08:27 test_determinism 1 9.22 14.63 112
03:08:29 test_determinism 1 9.22 14.63 112
03:08:31 test_determinism 1 9.22 14.63 112
03:08:33 test_determinism 1 9.22 14.62 112
03:08:35 test_determinism 1 9.22 14.64 112
03:08:37 test_determinism 1 9.22 14.63 112
03:08:39 test_determinism 1 9.22 14.63 112
03:08:41 test_determinism 1 9.22 14.62 191
03:08:43 test_determinism 1 9.22 14.62 191
03:08:45 test_determinism 1 9.22 14.62 191
03:08:47 test_determinism 1 9.22 14.63 191
03:08:49 test_determinism 1 9.22 14.62 191
03:08:51 test_determinism 1 9.22 14.61 191
03:08:53 test_determinism 1 9.22 14.61 191
03:08:55 test_determinism 1 9.22 14.62 191
03:08:57 test_determinism 1 9.22 14.63 191
03:08:59 test_determinism 1 9.22 14.62 191
03:09:01 test_determinism 1 9.22 14.62 191
03:09:03 test_determinism 1 9.22 14.62 191
03:09:06 test_determinism 1 9.22 14.62 191
03:09:08 test_determinism 1 9.22 14.62 191
03:09:10 test_determinism 1 9.22 14.61 191
03:09:12 test_determinism 1 9.22 14.62 191
03:09:14 test_determinism 1 9.22 14.62 191
03:09:16 test_determinism 1 9.22 14.61 191
03:09:18 test_determinism 1 9.22 14.61 191
03:09:20 test_determinism 1 9.22 14.61 191
03:09:22 test_determinism 1 9.22 14.61 191
03:09:24 test_determinism 1 9.22 14.61 191
03:09:26 test_determinism 1 9.22 14.60 191
03:09:28 test_determinism 1 9.22 14.61 191
03:09:30 test_determinism 1 9.22 14.61 191
03:09:32 test_determinism 1 9.22 14.60 191
03:09:34 test_determinism 1 9.22 14.61 191
03:09:36 test_determinism 1 9.22 14.61 191
03:09:38 test_determinism 1 9.22 14.61 191
03:09:40 test_determinism 1 9.22 14.61 191
03:09:42 test_determinism 1 9.22 14.61 191
03:09:44 test_determinism 1 9.22 14.60 191
03:09:46 test_determinism 1 9.22 14.62 191
03:09:48 test_determinism 1 9.22 14.62 191
03:09:50 test_determinism 1 9.22 14.61 191
03:09:52 test_determinism 1 9.22 14.61 191
03:09:54 test_determinism 1 9.22 14.61 191
03:09:56 test_determinism 1 9.22 14.62 191
03:09:58 test_determinism 1 9.22 14.61 191
03:10:00 test_determinism 1 9.22 14.62 191
03:10:02 test_determinism 1 9.22 14.62 191
03:10:04 test_determinism 1 9.22 14.62 191
03:10:06 test_determinism 1 9.22 14.62 191
03:10:08 test_determinism 1 9.22 14.62 191
03:10:10 test_determinism 1 9.22 14.62 191
03:10:12 test_determinism 1 9.22 14.62 191
03:10:14 test_determinism 1 9.22 14.61 191
03:10:16 test_determinism 1 9.22 14.62 191
03:10:18 test_determinism 1 9.22 14.62 191
03:10:20 test_determinism 1 9.22 14.62 191
03:10:22 test_determinism 1 9.22 14.61 191
03:10:24 test_determinism 1 9.22 14.61 191
03:10:26 test_determinism 1 9.22 14.61 191
03:10:28 test_determinism 1 9.22 14.61 191
03:10:30 test_determinism 1 9.22 14.62 191
03:10:32 test_determinism 1 9.22 14.61 191
03:10:34 test_determinism 1 9.22 14.60 191
03:10:36 test_determinism 1 9.22 14.60 191
03:10:38 test_determinism 1 9.22 14.60 191
03:10:40 test_determinism 1 9.22 14.60 191
03:10:42 test_determinism 1 9.22 14.62 191
03:10:44 test_determinism 1 9.22 14.62 191
03:10:46 test_determinism 1 9.22 14.62 191
03:10:48 test_determinism 1 9.22 14.62 191
03:10:50 test_determinism 1 9.22 14.61 191
03:10:52 test_determinism 1 9.22 14.61 191
03:10:54 test_determinism 1 9.22 14.62 191
03:10:56 test_determinism 1 9.22 14.61 191
03:10:58 test_determinism 1 9.22 14.61 191
03:11:00 test_determinism 1 9.22 14.62 191
03:11:02 test_determinism 1 9.22 14.61 191
03:11:04 test_determinism 1 9.22 14.61 191
03:11:06 test_determinism 1 9.22 14.61 191
03:11:08 test_determinism 1 9.22 14.62 191
03:11:10 test_determinism 1 9.25 14.59 191
