Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

seeded ticks: seed 1234, scenario market, followed id 1 (Wren)
tick  ground                    best      considered  edges  fight
   1  neutral                   +0.000    5           0      -   <- changed
   2  neutral                   +0.000    5           0      -
   3  neutral                   +0.000    5           0      -
   4  neutral                   +0.000    5           0      -
   5  neutral                   +0.000    5           0      -
   6  neutral                   +0.000    5           1      -
   7  neutral                   +0.000    5           1      -
   8  neutral                   +0.000    5           1      -
   9  neutral                   +0.000    5           1      -
  10  neutral                   +0.000    5           1      -
  11  neutral                   +0.000    5           1      -
  12  neutral                   +0.000    5           1      -
  13  neutral                   +0.000    5           1      -
  14  neutral                   +0.000    5           1      -
  15  neutral                   +0.000    5           1      -
  16  neutral                   +0.000    5           1      -
  17  neutral                   +0.000    5           1      -
  18  neutral                   +0.000    5           1      -
  19  neutral                   +0.000    5           1      -
  20  neutral                   +0.000    5           1      -
  21  neutral                   +0.000    5           1      -
  22  neutral                   +0.000    5           1      -
  23  neutral                   +0.000    5           1      -
  24  neutral                   +0.000    5           1      -
  25  neutral                   +0.000    5           1      -
  26  neutral                   +0.000    5           1      -
  27  neutral                   +0.000    5           1      -
  28  neutral                   +0.000    5           1      -
  29  neutral                   +0.000    5           1      -
  30  neutral                   +0.000    5           1      -
  31  neutral                   +0.000    5           1      -
  32  neutral                   +0.000    5           1      -
  33  neutral                   +0.000    5           1      -
  34  owned by Rook             +0.108    5           1      -   <- changed
  35  owned by Rook             +0.108    5           1      -
  36  owned by Rook             +0.108    5           1      -
  37  owned by Rook             +0.108    5           1      -
  38  owned by Rook             +0.108    5           1      -
  39  owned by Rook             +0.108    5           1      -
  40  owned by Rook             +0.108    5           1      -
  41  owned by Rook             +0.108    5           1      -
  42  owned by Rook             +0.108    5           1      -
  43  owned by Rook             +0.108    5           1      -
  44  owned by Rook             +0.108    5           1      -
  45  owned by Rook             +0.108    5           1      -
  46  owned by Rook             +0.108    5           1      -
  47  owned by Rook             +0.128    5           1      -
  48  owned by Rook             +0.128    5           1      -
  49  owned by Rook             +0.128    5           1      -
  50  owned by Rook             +0.128    5           1      -
  51  owned by Rook             +0.128    5           1      -
  52  owned by Rook             +0.128    5           1      -
  53  owned by Rook             +0.128    5           1      -
  54  owned by Rook             +0.128    5           1      -
  55  owned by Rook             +0.128    5           1      -
  56  owned by Rook             +0.128    5           1      -
  57  owned by Rook             +0.128    5           1      -
  58  owned by Rook             +0.128    5           1      -
  59  owned by Rook             +0.129    5           1      on   <- changed
  60  owned by Rook             +0.129    5           1      on
