# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
18:22:22 (starting) 1 0.06 24.05 0
18:22:25 (starting) 1 0.09 24.04 1
18:22:27 (starting) 1 0.11 24.02 1
18:22:30 (starting) 1 0.13 23.99 1
18:22:32 (starting) 1 0.15 23.97 1
18:22:34 (starting) 1 0.17 23.95 1
18:22:37 (starting) 1 0.18 23.94 1
18:22:39 (starting) 1 0.20 23.91 1
18:22:41 (starting) 1 0.22 23.90 1
18:22:44 (starting) 1 0.22 23.88 1
18:22:46 (starting) 1 0.23 23.88 1
18:22:48 (starting) 1 0.24 23.86 1
18:22:51 (starting) 1 0.24 23.84 1
18:22:54 (starting) 1 0.25 23.84 1
18:22:56 (starting) 1 0.26 23.83 1
18:22:59 (starting) 1 0.26 23.82 1
18:23:01 (starting) 1 0.26 23.81 1
18:23:04 (starting) 1 0.26 23.82 1
18:23:06 (starting) 1 0.26 23.81 1
18:23:09 (starting) 1 0.26 23.89 1
18:23:11 (starting) 1 0.26 23.89 1
18:23:14 (starting) 1 0.26 23.89 1
18:23:16 (starting) 1 0.26 23.88 1
18:23:19 (starting) 1 0.26 23.88 1
18:23:21 (starting) 1 0.26 23.87 1
18:23:24 (starting) 1 0.26 23.88 1
18:23:26 (starting) 1 0.26 23.88 1
18:23:29 (starting) 1 0.26 23.87 1
18:23:32 (starting) 1 0.26 23.87 1
18:23:35 (starting) 1 0.26 23.86 1
18:23:37 (starting) 1 0.26 23.86 1
18:23:40 (starting) 1 0.26 23.86 1
18:23:42 (starting) 1 0.26 23.85 1
18:23:45 (starting) 1 0.26 23.84 1
18:23:47 (starting) 1 0.26 23.85 1
18:23:50 (starting) 1 0.26 23.84 1
18:23:52 (starting) 1 0.26 23.84 1
18:23:55 (starting) 1 0.26 23.84 1
18:23:57 (starting) 1 0.26 23.83 1
18:24:00 (starting) 1 0.26 23.83 1
18:24:02 (starting) 1 0.26 23.83 1
18:24:04 (starting) 1 0.26 23.82 1
18:24:07 (starting) 1 0.26 23.82 1
18:24:09 (starting) 1 0.26 23.81 1
18:24:11 (starting) 1 0.26 23.80 1
18:24:14 (starting) 1 0.26 23.80 1
18:24:16 (starting) 1 0.26 23.80 1
18:24:19 (starting) 1 0.26 23.79 1
18:24:21 (starting) 1 0.26 23.79 1
18:24:23 (starting) 0 0.00 23.98 1
