# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
18:24:30 (starting) 1 0.05 24.47 0
18:24:32 (starting) 1 0.30 24.25 1
18:24:34 stalling_heavy 1 4.56 19.98 22
18:24:36 stalling_heavy 1 9.53 15.00 22
18:24:38 stalling_heavy 1 14.34 10.14 22
18:24:40 stalling_heavy 1 19.31 5.22 22
18:24:42 stalling_heavy 1 22.51 2.06 22
18:24:44 stalling_heavy 1 22.56 2.00 22
18:24:46 stalling_heavy 1 22.41 2.13 22
18:24:48 stalling_heavy 1 22.56 2.01 22
18:24:50 stalling_heavy 1 22.56 2.00 22
18:24:52 stalling_heavy 1 22.38 2.17 22
18:24:54 stalling_heavy 1 22.56 1.99 22
18:24:56 stalling_heavy 1 22.56 1.99 22
18:24:58 stalling_heavy 1 22.52 2.02 22
18:25:00 stalling_heavy 1 22.36 2.18 22
18:25:02 stalling_heavy 1 22.32 2.21 22
18:25:04 stalling_heavy 1 22.36 2.17 22
18:25:06 stalling_heavy 1 22.56 1.96 22
18:25:08 stalling_heavy 1 22.56 1.95 22
18:25:10 stalling_heavy 1 22.56 1.95 22
18:25:12 stalling_heavy 1 22.35 2.15 22
18:25:14 stalling_heavy 1 22.47 2.03 22
18:25:16 stalling_heavy 1 22.56 1.94 22
18:25:18 stalling_heavy 1 22.56 1.94 22
18:25:20 stalling_heavy 1 22.56 1.94 22
18:25:22 stalling_heavy 1 22.56 1.94 22
18:25:24 stalling_heavy 1 22.56 1.94 22
18:25:26 stalling_heavy 1 22.33 2.17 22
18:25:28 stalling_heavy 1 22.41 2.08 22
18:25:30 stalling_heavy 1 22.45 2.04 22
18:25:32 stalling_heavy 1 22.55 1.94 22
18:25:34 stalling_heavy 1 22.56 1.94 22
18:25:36 stalling_heavy 1 22.56 1.94 22
18:25:38 stalling_heavy 1 22.37 2.12 22
18:25:40 stalling_heavy 1 22.56 1.94 22
18:25:42 stalling_heavy 1 22.56 1.96 22
18:25:44 stalling_heavy 1 22.56 1.96 22
18:25:46 stalling_heavy 1 22.33 2.18 22
18:25:48 stalling_heavy 1 22.38 2.13 22
18:25:50 stalling_heavy 1 22.40 2.10 22
18:25:52 stalling_heavy 1 22.47 2.03 22
18:25:54 stalling_heavy 1 22.54 1.96 22
18:25:56 stalling_heavy 1 22.56 1.94 22
18:25:58 stalling_heavy 1 22.56 1.95 22
18:26:00 stalling_heavy 1 22.56 2.00 22
18:26:02 stalling_heavy 1 22.56 1.98 22
18:26:04 stalling_heavy 1 22.49 2.04 22
18:26:06 stalling_heavy 1 22.56 1.98 22
18:26:08 stalling_heavy 1 22.56 1.98 22
18:26:10 stalling_heavy 1 22.56 2.01 22
18:26:12 stalling_heavy 1 22.56 1.99 22
18:26:14 stalling_heavy 1 22.56 1.99 22
18:26:16 stalling_heavy 1 22.56 1.98 22
18:26:18 stalling_heavy 1 22.56 1.97 22
18:26:20 stalling_heavy 1 22.36 2.16 22
18:26:22 stalling_heavy 1 22.56 1.99 22
18:26:24 stalling_heavy 1 22.56 1.99 22
18:26:26 stalling_heavy 1 22.44 2.11 22
18:26:28 stalling_heavy 1 22.36 2.18 22
18:26:30 stalling_heavy 1 22.39 2.16 22
18:26:32 stalling_heavy 1 22.38 2.16 22
