# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
18:09:00 (starting) 1 0.05 24.08 0
18:09:02 (starting) 1 0.08 24.06 1
18:09:05 (starting) 1 0.09 24.05 1
18:09:07 (starting) 1 0.11 24.03 1
18:09:10 (starting) 1 0.13 23.98 1
18:09:12 (starting) 1 0.15 23.96 1
18:09:14 (starting) 1 0.17 23.98 1
18:09:16 (starting) 1 0.18 23.96 1
18:09:19 (starting) 1 0.20 23.94 1
18:09:21 (starting) 1 0.22 23.92 1
18:09:24 (starting) 1 0.23 23.97 1
18:09:26 (starting) 1 0.23 23.97 1
18:09:29 (starting) 1 0.24 23.95 1
18:09:32 (starting) 1 0.25 23.93 1
18:09:34 (starting) 1 0.25 23.94 1
18:09:36 (starting) 1 0.26 23.93 1
18:09:39 (starting) 1 0.26 23.92 1
18:09:41 (starting) 1 0.26 23.92 1
18:09:44 (starting) 1 0.26 23.92 1
18:09:46 (starting) 1 0.26 23.91 1
18:09:48 (starting) 1 0.26 23.92 1
18:09:51 (starting) 1 0.26 23.91 1
18:09:53 (starting) 1 0.26 23.91 1
18:09:56 (starting) 1 0.26 23.92 1
18:09:58 (starting) 1 0.26 23.91 1
18:10:00 (starting) 1 0.26 23.90 1
18:10:03 (starting) 1 0.26 23.91 1
18:10:05 (starting) 1 0.26 23.90 1
18:10:07 (starting) 1 0.26 23.90 1
18:10:10 (starting) 1 0.26 23.90 1
18:10:12 (starting) 1 0.26 23.89 1
18:10:14 (starting) 1 0.26 23.89 1
18:10:17 (starting) 1 0.26 23.89 1
18:10:20 (starting) 1 0.26 23.88 1
18:10:22 (starting) 1 0.27 23.88 1
18:10:24 (starting) 1 0.27 23.88 1
18:10:27 (starting) 1 0.27 23.88 1
18:10:29 (starting) 1 0.27 23.87 1
18:10:32 (starting) 1 0.27 23.87 1
18:10:34 (starting) 1 0.27 23.91 1
18:10:36 (starting) 1 0.27 23.91 1
18:10:39 (starting) 1 0.27 23.91 1
18:10:41 (starting) 1 0.27 23.91 1
18:10:43 (starting) 1 0.27 23.90 1
18:10:46 (starting) 1 0.27 23.90 1
18:10:48 (starting) 1 0.27 23.90 1
18:10:51 (starting) 1 0.27 23.89 1
18:10:53 (starting) 1 0.27 23.90 1
18:10:55 (starting) 1 0.27 23.90 1
18:10:58 (starting) 1 0.27 23.90 1
18:11:00 (starting) 1 0.27 23.90 1
18:11:02 (starting) 1 0.27 23.90 1
18:11:05 (starting) 1 0.27 23.89 1
18:11:07 (starting) 1 0.27 23.89 1
18:11:10 (starting) 1 0.27 23.89 1
18:11:12 (starting) 1 0.27 23.89 1
18:11:15 (starting) 1 0.27 23.88 1
18:11:17 (starting) 1 0.27 23.88 1
18:11:20 (starting) 1 0.27 23.88 1
18:11:22 (starting) 1 0.27 23.88 1
18:11:25 (starting) 1 0.27 23.88 1
18:11:27 (starting) 1 0.27 23.88 1
18:11:30 (starting) 1 0.27 23.88 1
18:11:32 (starting) 1 0.27 23.87 1
18:11:35 (starting) 1 0.27 23.87 1
18:11:37 (starting) 1 0.27 23.85 1
18:11:40 (starting) 1 0.27 23.85 1
18:11:42 (starting) 1 0.27 23.85 1
18:11:44 (starting) 1 0.29 23.83 1
