# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
18:00:36 (starting) 1 0.05 23.93 0
18:00:38 (starting) 1 0.27 23.75 1
18:00:40 stalling_heavy 1 3.31 20.71 22
18:00:42 stalling_heavy 1 7.98 16.02 22
18:00:44 stalling_heavy 1 12.57 11.42 22
18:00:46 stalling_heavy 1 17.06 6.93 22
18:00:48 stalling_heavy 1 21.38 2.60 22
18:00:50 stalling_heavy 1 22.49 1.53 22
18:00:52 stalling_heavy 1 22.56 1.46 22
18:00:54 stalling_heavy 1 22.31 1.71 22
18:00:56 stalling_heavy 1 22.56 1.44 22
18:00:58 stalling_heavy 1 22.56 1.44 22
18:01:00 stalling_heavy 1 22.55 1.47 22
18:01:02 stalling_heavy 1 22.56 1.46 22
18:01:04 stalling_heavy 1 22.56 1.45 22
18:01:06 stalling_heavy 1 22.41 1.59 22
18:01:08 stalling_heavy 1 22.56 1.45 22
18:01:10 stalling_heavy 1 22.56 1.47 22
18:01:12 stalling_heavy 1 22.34 1.68 22
18:01:14 stalling_heavy 1 22.37 1.64 22
18:01:16 stalling_heavy 1 22.35 1.65 22
18:01:18 stalling_heavy 1 22.49 1.51 22
18:01:20 stalling_heavy 1 22.56 1.47 22
18:01:22 stalling_heavy 1 22.56 1.46 22
18:01:24 stalling_heavy 1 22.35 1.66 22
18:01:26 stalling_heavy 1 22.56 1.77 22
18:01:28 stalling_heavy 1 22.37 2.19 22
18:01:30 stalling_heavy 1 22.43 2.12 22
18:01:32 stalling_heavy 1 22.37 2.18 22
18:01:34 stalling_heavy 1 22.56 2.01 22
18:01:36 stalling_heavy 1 22.56 2.00 22
18:01:38 stalling_heavy 1 22.56 2.00 22
18:01:40 stalling_heavy 1 22.56 2.00 22
18:01:42 stalling_heavy 1 22.56 2.00 22
18:01:44 stalling_heavy 1 22.56 2.00 22
18:01:46 stalling_heavy 1 22.56 2.01 22
18:01:48 stalling_heavy 1 22.56 2.01 22
18:01:50 stalling_heavy 1 22.55 2.01 22
18:01:52 stalling_heavy 1 22.56 2.01 22
18:01:54 stalling_heavy 1 22.35 2.21 22
18:01:56 stalling_heavy 1 22.56 2.01 22
18:01:58 stalling_heavy 1 22.56 2.01 22
18:02:00 stalling_heavy 1 22.56 2.01 22
18:02:02 stalling_heavy 1 22.43 2.13 22
18:02:04 stalling_heavy 1 22.51 2.05 22
18:02:06 stalling_heavy 1 22.41 2.15 22
18:02:08 stalling_heavy 1 22.56 2.00 22
18:02:10 stalling_heavy 1 22.56 2.00 22
18:02:12 stalling_heavy 1 22.56 2.00 22
18:02:14 stalling_heavy 1 22.56 2.01 22
18:02:16 stalling_heavy 1 22.56 2.00 22
18:02:18 stalling_heavy 1 22.56 2.00 22
18:02:20 stalling_heavy 1 22.56 2.00 22
18:02:22 stalling_heavy 1 22.56 2.00 22
18:02:24 stalling_heavy 1 22.56 2.00 22
18:02:26 stalling_heavy 1 22.32 2.24 22
18:02:28 stalling_heavy 1 22.37 2.19 22
18:02:30 stalling_heavy 1 22.46 2.04 22
18:02:32 stalling_heavy 1 22.32 2.23 22
18:02:34 stalling_heavy 1 22.43 2.12 22
18:02:36 stalling_heavy 1 22.55 2.01 22
18:02:38 stalling_heavy 1 22.56 2.01 22
