# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
17:46:37 (starting) 1 0.03 0.94 0
17:46:39 (starting) 1 0.26 0.74 1
17:46:41 (starting) 1 0.26 0.75 1
17:46:43 stalling 1 0.29 0.72 16
17:46:45 stalling 1 0.29 0.71 16
17:46:47 stalling 1 0.29 0.71 16
17:46:49 stalling 1 0.29 0.72 16
17:46:51 stalling 1 0.29 0.72 16
17:46:53 stalling 1 0.29 0.72 16
17:46:55 stalling 1 0.29 0.72 16
17:46:57 stalling 1 0.29 0.72 16
17:46:59 stalling 1 0.29 0.72 16
17:47:01 stalling 1 0.29 0.72 16
17:47:03 stalling 1 0.29 0.72 16
17:47:05 stalling 1 0.29 0.71 16
17:47:07 stalling 1 0.29 0.71 16
17:47:09 stalling 1 0.29 0.71 16
17:47:11 stalling 1 0.29 0.71 16
17:47:13 stalling 1 0.29 0.71 16
17:47:15 stalling 1 0.29 0.71 16
17:47:17 stalling 1 0.29 0.70 16
17:47:19 stalling 1 0.29 0.70 16
17:47:21 stalling 1 0.29 0.70 16
17:47:23 stalling 1 0.29 0.69 16
17:47:25 stalling 1 0.29 0.69 16
17:47:27 stalling 1 0.29 0.69 16
17:47:29 stalling 1 0.29 0.69 16
17:47:31 stalling 1 0.29 0.69 16
17:47:33 stalling 1 0.29 0.69 16
17:47:35 stalling 1 0.29 0.68 16
17:47:37 stalling 1 0.29 0.68 16
17:47:39 stalling 1 0.29 0.68 16
17:47:41 stalling 1 0.29 0.67 16
17:47:43 stalling 1 0.29 0.68 16
17:47:45 stalling 1 0.29 0.70 16
17:47:47 stalling 1 0.29 0.70 16
17:47:49 stalling 1 0.29 0.70 16
17:47:51 stalling 1 0.29 0.70 16
17:47:53 stalling 1 0.29 0.70 16
17:47:55 stalling 1 0.29 0.70 16
17:47:57 stalling 1 0.29 0.70 16
17:47:59 stalling 1 0.29 0.70 16
17:48:01 stalling 1 0.29 0.69 16
17:48:03 stalling 1 0.29 0.69 16
17:48:05 stalling 1 0.29 0.69 16
17:48:07 stalling 1 0.29 0.68 16
17:48:09 stalling 1 0.29 0.68 16
17:48:11 stalling 1 0.29 0.68 16
17:48:13 stalling 1 0.29 0.67 16
17:48:15 stalling 1 0.29 0.68 16
17:48:17 stalling 1 0.29 0.67 16
17:48:19 stalling 1 0.29 0.66 16
17:48:21 stalling 1 0.29 0.65 16
17:48:23 stalling 1 0.29 0.68 16
17:48:25 stalling 1 0.29 0.69 16
17:48:27 stalling 1 0.29 0.67 16
17:48:29 stalling 1 0.29 0.67 16
17:48:31 stalling 1 0.29 0.66 16
17:48:33 stalling 1 0.29 0.66 16
17:48:35 stalling 1 0.29 0.65 16
17:48:37 stalling 1 0.29 0.64 16
17:48:39 stalling 1 0.27 0.64 16
17:48:41 stalling 1 0.25 0.64 16
17:48:43 stalling 1 0.24 0.64 16
