# resident memory of every engine of one ./run_tests.sh run
# this machine has 27.4 GiB
# time suite engines rss_gib avail_gib transcript_bytes
17:39:41 (starting) 1 0.05 22.26 0
17:39:43 (starting) 1 0.26 22.08 1
17:39:45 (starting) 1 0.28 22.05 1
17:39:47 stalling 1 0.30 22.04 16
17:39:49 stalling 1 0.30 22.04 16
17:39:51 stalling 1 0.30 22.04 16
17:39:53 stalling 1 0.30 22.04 16
17:39:55 stalling 1 0.30 22.04 16
17:39:57 stalling 1 0.30 22.05 16
17:39:59 stalling 1 0.30 22.05 16
17:40:01 stalling 1 0.30 22.05 16
17:40:03 stalling 1 0.30 22.05 16
17:40:05 stalling 1 0.30 22.05 16
17:40:07 stalling 1 0.30 22.04 16
17:40:09 stalling 1 0.30 22.04 16
17:40:11 stalling 1 0.30 22.04 16
17:40:13 stalling 1 0.30 22.04 16
17:40:15 stalling 1 0.30 22.04 16
17:40:17 stalling 1 0.30 22.04 16
17:40:19 stalling 1 0.30 22.04 16
17:40:21 stalling 1 0.30 22.04 16
17:40:23 stalling 1 0.30 22.04 16
17:40:25 stalling 1 0.30 22.04 16
17:40:27 stalling 1 0.30 22.03 16
17:40:29 stalling 1 0.30 22.04 16
17:40:31 stalling 1 0.30 22.04 16
17:40:33 stalling 1 0.30 22.05 16
17:40:35 stalling 1 0.30 22.05 16
17:40:37 stalling 1 0.30 22.01 16
17:40:39 stalling 1 0.30 21.57 16
17:40:41 stalling 1 0.30 21.33 16
17:40:43 stalling 1 0.30 21.43 16
17:40:45 stalling 1 0.30 21.43 16
17:40:47 stalling 1 0.30 21.43 16
17:40:49 stalling 1 0.30 21.42 16
17:40:51 stalling 1 0.30 21.42 16
17:40:53 stalling 1 0.30 21.41 16
17:40:55 stalling 1 0.30 21.63 16
17:40:57 stalling 1 0.30 21.64 16
17:40:59 stalling 1 0.30 21.65 16
17:41:01 stalling 1 0.30 21.64 16
17:41:03 stalling 1 0.30 21.64 16
17:41:06 stalling 1 0.30 21.63 16
17:41:08 stalling 1 0.30 21.62 16
17:41:10 stalling 1 0.30 21.61 16
17:41:12 stalling 1 0.30 21.60 16
17:41:14 stalling 1 0.30 21.60 16
17:41:16 stalling 1 0.30 21.60 16
17:41:18 stalling 1 0.30 21.63 16
17:41:20 stalling 1 0.30 21.62 16
17:41:22 stalling 1 0.30 21.62 16
17:41:24 stalling 1 0.30 21.62 16
17:41:26 stalling 1 0.30 21.61 16
17:41:28 stalling 1 0.30 21.62 16
17:41:30 stalling 1 0.30 21.62 16
17:41:32 stalling 1 0.30 21.61 16
17:41:34 stalling 1 0.30 21.61 16
17:41:36 stalling 1 0.30 21.61 16
17:41:38 stalling 1 0.30 21.60 16
17:41:40 stalling 1 0.30 21.60 16
17:41:42 stalling 1 0.30 21.60 16
17:41:44 stalling 1 0.30 21.60 16
17:41:46 stalling 1 0.30 21.59 16
17:41:48 stalling 1 0.30 21.59 16
